
Aposta: {'numeros': [36, 7, 34, 5, 25], 'estrelas': [2, 10]}

Aposta: {'numeros': [19, 47, 7, 12, 40], 'estrelas': [11, 1]}

Aposta: {'numeros': [27, 9, 11, 38, 4], 'estrelas': [6, 7]}

Aposta: {'numeros': [20, 44, 14, 34, 5], 'estrelas': [1, 7]}

Aposta: {'numeros': [2, 21, 46, 40, 49], 'estrelas': [12, 11]}

Aposta: {'numeros': [48, 2, 29, 32, 15], 'estrelas': [11, 8]}

Aposta: {'numeros': [22, 14, 18, 21, 17], 'estrelas': [7, 3]}

Aposta: {'numeros': [47, 48, 36, 37, 41], 'estrelas': [10, 2]}

Aposta: {'numeros': [31, 24, 14, 2, 8], 'estrelas': [2, 7]}

Aposta: {'numeros': [9, 11, 22, 18, 48], 'estrelas': [9, 11]}

Aposta: {'numeros': [11, 26, 1, 41, 12], 'estrelas': [10, 2]}

Aposta: {'numeros': [18, 21, 14, 20, 26], 'estrelas': [3, 10]}

Aposta: {'numeros': [48, 13, 6, 22, 4], 'estrelas': [8, 10]}

Aposta: {'numeros': [7, 20, 2, 19, 1], 'estrelas': [9, 2]}

Aposta: {'numeros': [22, 1, 35, 3, 11], 'estrelas': [3, 5]}

Aposta: {'numeros': [35, 19, 48, 27, 38], 'estrelas': [9, 1]}

Aposta: {'numeros': [25, 38, 32, 28, 47], 'estrelas': [3, 1]}

Aposta: {'numeros': [42, 41, 19, 27, 46], 'estrelas': [6, 11]}

Aposta: {'numeros': [12, 49, 24, 42, 26], 'estrelas': [12, 4]}

Aposta: {'numeros': [6, 47, 37, 20, 34], 'estrelas': [6, 9]}

Aposta: {'numeros': [19, 35, 29, 11, 12], 'estrelas': [7, 1]}

Aposta: {'numeros': [14, 31, 32, 43, 9], 'estrelas': [8, 4]}

Aposta: {'numeros': [48, 41, 38, 20, 6], 'estrelas': [8, 10]}

Aposta: {'numeros': [37, 23, 32, 46, 12], 'estrelas': [6, 4]}

Aposta: {'numeros': [6, 23, 27, 5, 28], 'estrelas': [10, 8]}

Aposta: {'numeros': [16, 48, 42, 12, 5], 'estrelas': [6, 12]}

Aposta: {'numeros': [20, 21, 19, 42, 37], 'estrelas': [9, 7]}

Aposta: {'numeros': [31, 35, 26, 24, 8], 'estrelas': [12, 8]}

Aposta: {'numeros': [39, 35, 6, 29, 25], 'estrelas': [4, 3]}

Aposta: {'numeros': [50, 8, 34, 25, 42], 'estrelas': [2, 8]}

Aposta: {'numeros': [42, 33, 27, 2, 20], 'estrelas': [9, 2]}

Aposta: {'numeros': [14, 43, 8, 17, 29], 'estrelas': [4, 3]}

Aposta: {'numeros': [13, 39, 27, 12, 26], 'estrelas': [4, 10]}

Aposta: {'numeros': [24, 12, 5, 37, 36], 'estrelas': [12, 7]}

Aposta: {'numeros': [47, 17, 23, 14, 29], 'estrelas': [5, 2]}

Aposta: {'numeros': [29, 10, 23, 3, 49], 'estrelas': [9, 12]}

Aposta: {'numeros': [35, 18, 29, 25, 24], 'estrelas': [6, 8]}

Aposta: {'numeros': [42, 11, 20, 23, 29], 'estrelas': [1, 3]}

Aposta: {'numeros': [23, 40, 12, 28, 19], 'estrelas': [4, 2]}

Aposta: {'numeros': [4, 15, 19, 29, 46], 'estrelas': [10, 5]}

Aposta: {'numeros': [23, 49, 15, 27, 41], 'estrelas': [9, 8]}

Aposta: {'numeros': [39, 11, 20, 10, 34], 'estrelas': [12, 2]}

Aposta: {'numeros': [28, 11, 26, 50, 8], 'estrelas': [10, 2]}

Aposta: {'numeros': [17, 21, 42, 25, 8], 'estrelas': [4, 6]}

Aposta: {'numeros': [30, 46, 43, 11, 40], 'estrelas': [3, 11]}

Aposta: {'numeros': [45, 30, 50, 43, 18], 'estrelas': [3, 7]}

Aposta: {'numeros': [21, 23, 33, 34, 49], 'estrelas': [4, 9]}

Aposta: {'numeros': [46, 2, 19, 17, 38], 'estrelas': [6, 3]}

Aposta: {'numeros': [29, 43, 7, 35, 19], 'estrelas': [6, 2]}

Aposta: {'numeros': [33, 30, 6, 34, 3], 'estrelas': [4, 5]}

Aposta: {'numeros': [36, 41, 47, 8, 45], 'estrelas': [10, 9]}

Aposta: {'numeros': [19, 40, 12, 26, 15], 'estrelas': [10, 12]}

Aposta: {'numeros': [14, 5, 16, 28, 32], 'estrelas': [7, 8]}

Aposta: {'numeros': [36, 39, 19, 47, 2], 'estrelas': [1, 12]}

Aposta: {'numeros': [35, 5, 46, 30, 11], 'estrelas': [1, 7]}

Aposta: {'numeros': [6, 21, 1, 40, 30], 'estrelas': [9, 4]}

Aposta: {'numeros': [40, 42, 30, 46, 39], 'estrelas': [11, 5]}

Aposta: {'numeros': [42, 44, 26, 22, 40], 'estrelas': [11, 12]}

Aposta: {'numeros': [13, 6, 20, 36, 26], 'estrelas': [3, 11]}

Aposta: {'numeros': [23, 24, 4, 43, 11], 'estrelas': [10, 3]}

Aposta: {'numeros': [35, 31, 13, 25, 4], 'estrelas': [8, 9]}

Aposta: {'numeros': [43, 20, 21, 16, 23], 'estrelas': [4, 12]}

Aposta: {'numeros': [5, 12, 41, 6, 39], 'estrelas': [9, 1]}

Aposta: {'numeros': [14, 50, 49, 22, 12], 'estrelas': [4, 11]}

Aposta: {'numeros': [49, 46, 30, 25, 22], 'estrelas': [6, 3]}

Aposta: {'numeros': [48, 39, 4, 31, 49], 'estrelas': [2, 4]}

Aposta: {'numeros': [13, 14, 49, 2, 34], 'estrelas': [9, 2]}

Aposta: {'numeros': [13, 29, 34, 45, 26], 'estrelas': [2, 12]}

Aposta: {'numeros': [7, 11, 13, 15, 25], 'estrelas': [9, 5]}

Aposta: {'numeros': [22, 44, 50, 2, 32], 'estrelas': [10, 9]}

Aposta: {'numeros': [36, 38, 43, 4, 28], 'estrelas': [3, 7]}

